n
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.029000000Z"",confidence_score: 0.7,name: ""final layer sensitivity"",created_at: ""2025-12-19T17:13:28.029000000Z"",extraction_method: ""llm_extraction"",id: ""d4d83f99-96b3-4899-bab0-585152df0c11"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.031000000Z"",confidence_score: 0.7,name: ""sequence level feature"",created_at: ""2025-12-19T17:13:28.031000000Z"",extraction_method: ""llm_extraction"",id: ""187f8f3b-cc33-4542-9068-ec7985c0c7f8"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.032000000Z"",confidence_score: 0.7,name: ""first order update geometry"",created_at: ""2025-12-19T17:13:28.032000000Z"",extraction_method: ""llm_extraction"",id: ""53bbf1ec-c55c-48ce-8454-a7a77ffc48ec"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.034000000Z"",confidence_score: 0.6,name: ""negligible cost from a standard forward pass"",created_at: ""2025-12-19T17:13:28.034000000Z"",extraction_method: ""llm_extraction"",id: ""15e69b5f-5976-41d8-8da9-c75fad72355c"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15687v1', 'paper_title': 'Can LLMs Guide Their Own Exploration? Gradient-Guided Reinforcement Learning for LLM Reasoning', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:44:45Z', 'entity_type_original': 'other', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:28.040000000Z"",confidence_score: 0.6,name: ""redundant or off manifold updates"",created_at: ""2025-12-19T17:13:28.040000000Z"",extraction_method: ""llm_extraction"",id: ""b5f76356-3d8b-4b5f-a9ee-8d2995fa7c84"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'text_pattern', 'paper_id': '2512.15657v1', 'paper_title': 'pdf', 'arxiv_category': 'cs.LG', 'publication_date': '2025-12-17T18:10:17Z', 'entity_type_original': 'result', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T17:13:42.504000000Z"",confidence_score: 0.7,name: ""epochs, our models achieve better FID-50K scor"",created_at: ""2025-12-19T17:13:42.504000000Z"",extraction_method: ""pattern_matching"",id: ""d26defad-3654-4e57-b91a-8a55c4248ebc"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'text_pattern', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'metric', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T20:51:50.526000000Z"",confidence_score: 0.7,name: ""offering significant gains in communication efficiency for applications such as telepresence, augmented"",created_at: ""2025-12-19T20:51:50.526000000Z"",extraction_method: ""pattern_matching"",id: ""d98798e4-10e4-4979-9ae3-15d132a4918a"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T23:05:42.249000000Z"",confidence_score: 0.8,name: ""Encoder-Decoder Network"",created_at: ""2025-12-19T23:05:42.249000000Z"",extraction_method: ""llm_extraction"",id: ""19d27006-50c4-434d-be43-47f129f91ec3"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'metric', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T23:05:42.250000000Z"",confidence_score: 0.85,name: ""Bitrate"",created_at: ""2025-12-19T23:05:42.250000000Z"",extraction_method: ""llm_extraction"",id: ""5ecdc015-ebd5-44e2-8a13-d20f085f1f13"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'metric', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T23:05:42.253000000Z"",confidence_score: 0.9,name: ""Channel Capacity"",created_at: ""2025-12-19T23:05:42.253000000Z"",extraction_method: ""llm_extraction"",id: ""feb93703-d60d-478c-8088-dfc5ac0299ec"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'metric', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T23:05:42.255000000Z"",confidence_score: 0.7,name: ""Channel Bandwidth"",created_at: ""2025-12-19T23:05:42.255000000Z"",extraction_method: ""llm_extraction"",id: ""060176c3-8396-4501-8080-5d927f849396"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15691v1', 'paper_title': 'Multi-Modal Semantic Communication', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'model', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T20:51:50.555000000Z"",confidence_score: 0.75,name: ""transformer-based approaches"",created_at: ""2025-12-19T20:51:50.555000000Z"",extraction_method: ""llm_extraction"",id: ""b5abd158-bef0-46fe-8bb3-f84dd7df71c7"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15675v1', 'paper_title': 'Stylized Synthetic Augmentation further improves Corruption Robustness', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'metric', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:04:48.745000000Z"",confidence_score: 0.82,name: ""Robust Accuracy"",created_at: ""2025-12-19T22:04:48.745000000Z"",extraction_method: ""llm_extraction"",id: ""f4a9f737-a7a9-4ee4-843b-12bb0deaca06"",type: ""OTHER""})"
"(:Entity:OTHER {metadata: ""{'source': 'llm_extraction', 'paper_id': '2512.15675v1', 'paper_title': 'Stylized Synthetic Augmentation further improves Corruption Robustness', 'arxiv_category': '', 'publication_date': '', 'entity_type_original': 'task', 'full_name': '', 'field': ''}"",updated_at: ""2025-12-19T22:04:48.747000000Z"",confidence_score: 0.85,name: ""Image Classification"",created_at: ""2025-12-19T22:04:48.747000000Z"",extraction_method: ""llm_extraction"",id: ""d5ecb6d8-987e-4747-9541-ee9452933df0"",type: ""OTHER""})"
